Ngày,Các trang bị ảnh hưởng
2026-01-17,113
2026-01-18,122
2026-01-19,122
2026-01-20,122
2026-01-21,125
2026-01-22,125
2026-01-23,125
2026-01-24,125
2026-01-25,136
2026-01-26,136
2026-01-27,136
2026-01-28,143
2026-01-29,143
2026-01-30,143
2026-01-31,143
2026-02-01,152
2026-02-02,152
2026-02-03,152
2026-02-04,160
2026-02-05,160
2026-02-06,160
2026-02-07,160
2026-02-08,164
2026-02-09,164
2026-02-10,164
2026-02-11,168
2026-02-12,168
2026-02-13,168
2026-02-14,168
2026-02-15,177
2026-02-16,177
2026-02-17,177
2026-02-18,185
2026-02-19,185
2026-02-20,185
2026-02-21,185
2026-02-22,193
2026-02-23,193
2026-02-24,193
2026-02-25,210
2026-02-26,210
2026-02-27,210
2026-02-28,210
2026-03-01,210
2026-03-02,210
2026-03-03,210
2026-03-04,214
2026-03-05,214
2026-03-06,214
2026-03-07,214
2026-03-08,223
2026-03-09,223
2026-03-10,223
2026-03-11,239
2026-03-12,239
2026-03-13,239
2026-03-14,239
2026-03-15,239
2026-03-16,240
2026-03-17,240
2026-03-18,247
2026-03-19,247
2026-03-20,247
2026-03-21,247
2026-03-22,249
2026-03-23,249
2026-03-24,249
2026-03-25,265
2026-03-26,265
2026-03-27,265
2026-03-28,265
2026-03-29,272
2026-03-30,272
2026-03-31,272
2026-04-01,277
2026-04-02,277
2026-04-03,277
2026-04-04,277
2026-04-05,287
2026-04-06,287
2026-04-07,286
2026-04-08,286
2026-04-09,286
2026-04-10,286
