Quốc gia,Lượt nhấp,Lượt hiển thị,CTR,Vị trí
Ấn Độ,30,134,22.39%,31.69
Hoa Kỳ,18,589,3.06%,35.03
Indonesia,16,42,38.1%,20.1
Pakistan,14,78,17.95%,7.13
Kenya,8,12,66.67%,8.92
Việt Nam,6,70,8.57%,20.3
Bangladesh,6,27,22.22%,23.59
Nigeria,6,16,37.5%,38.38
Đức,4,153,2.61%,67.35
Thổ Nhĩ Kỳ,4,32,12.5%,36.62
Canada,3,46,6.52%,31.5
Các Tiểu Vương quốc Ả Rập Thống nhất,3,12,25%,7.92
Singapore,3,12,25%,17.33
Ma-rốc,3,5,60%,1.2
Brazil,2,116,1.72%,54.5
Philippin,2,24,8.33%,17.67
Ý,2,21,9.52%,51.14
Ukraine,2,11,18.18%,8
Hà Lan,2,10,20%,51.2
Hong Kong,2,7,28.57%,15.14
Croatia,2,7,28.57%,35.86
Madagascar,2,3,66.67%,1
Maldives,2,2,100%,1
Vương quốc Anh,1,53,1.89%,52.74
Nga,1,34,2.94%,56.74
Tây Ban Nha,1,22,4.55%,41.41
Ba Lan,1,15,6.67%,37.73
Úc,1,14,7.14%,45.57
Argentina,1,13,7.69%,50.85
Mexico,1,13,7.69%,50.92
Nam Phi,1,12,8.33%,44.67
Rumani,1,9,11.11%,31.22
Trung Quốc,1,8,12.5%,13
Bỉ,1,6,16.67%,64.5
Thái Lan,1,5,20%,13.6
Vùng Không Biết,1,5,20%,66.8
Ghana,1,4,25%,3.75
Lithuania,1,4,25%,30.75
Malta,1,2,50%,1
Togo,1,1,100%,8
Hàn Quốc,0,19,0%,61.26
Nhật Bản,0,15,0%,18.27
Pháp,0,11,0%,51.45
Uzbekistan,0,10,0%,36
Đài Loan,0,9,0%,46.78
Áo,0,8,0%,32.62
I-rắc,0,8,0%,42.62
Ả-rập Xê-út,0,8,0%,51
Ecuador,0,8,0%,60.12
Ireland,0,7,0%,62.86
Colombia,0,6,0%,44.83
Chile,0,6,0%,55.17
I-ran,0,6,0%,63.17
Venezuela,0,5,0%,49.6
Ai Cập,0,5,0%,60.6
Phần Lan,0,4,0%,28.75
Bolivia,0,4,0%,29
Peru,0,4,0%,36
Malaysia,0,4,0%,37.75
Paraguay,0,4,0%,38.75
Tunisia,0,4,0%,49.75
Algeria,0,4,0%,55.5
Slovakia,0,3,0%,1
Uruguay,0,3,0%,1
Ethiopia,0,3,0%,20.33
Hy Lạp,0,3,0%,21
Latvia,0,3,0%,29.67
Tiếng Bồ Đào Nha,0,3,0%,35.67
Slovenia,0,3,0%,43.33
Thuỵ Điển,0,3,0%,46
Na Uy,0,3,0%,47
New Zealand,0,3,0%,52.67
Bulgari,0,3,0%,57
Kazakhstan,0,3,0%,63.67
Cộng hoà Dominica,0,3,0%,94
Moldova,0,3,0%,106.67
Thuỵ Sĩ,0,3,0%,115.33
Estonia,0,2,0%,1
Georgia,0,2,0%,1
Panama,0,2,0%,1
Đảo Síp,0,2,0%,22
Palestine,0,2,0%,24
Azerbaijan,0,2,0%,49
Hungary,0,2,0%,71
Czechia,0,2,0%,73
Albania,0,1,0%,1
Armenia,0,1,0%,1
Brunei,0,1,0%,1
Bờ Biển Ngà,0,1,0%,1
Jordan,0,1,0%,1
Senegal,0,1,0%,1
Suriname,0,1,0%,1
Syria,0,1,0%,1
St. Kitts và Nevis,0,1,0%,8
Serbia,0,1,0%,10
Lào,0,1,0%,11
Myanmar (Burma),0,1,0%,11
Kyrgyzstan,0,1,0%,15
Lebanon,0,1,0%,16
Tiếng Somalia,0,1,0%,17
Campuchia,0,1,0%,20
Qatar,0,1,0%,49
Costa Rica,0,1,0%,53
Mali,0,1,0%,78
Bê-la-rút,0,1,0%,81
Uganda,0,1,0%,82
Belize,0,1,0%,84
Trinidad và Tobago,0,1,0%,90
Israel,0,1,0%,98
Bosnia và Herzegovina,0,1,0%,101
Sri Lanka,0,1,0%,178
