source_url,best_url,best_title,best_score,second_score,confidence,candidate_2_url,candidate_2_title,candidate_2_score,candidate_3_url,candidate_3_title,candidate_3_score
https://coinlineup.com/after-the-285m-drift-hack-solanas-new-scare-points-to-insider-crypto-risk/,https://coinlineup.com/drift-hack-solana-insider-crypto-security-risk/,"After the $285M Drift Hack, Solana’s New Scare Points to Insider Crypto Risk",100,20,high,https://coinlineup.com/arthur-hayes-solana-native-multisig-drift-hack-update/,UPDATE: Arthur Hayes Questions Whether Solana Native Multisig Could Have Prevented the Drift Hack,20,https://coinlineup.com/ledger-cto-drift-protocol-hack-north-korea/,Ledger CTO Ties $280M Drift Hack to North Korea Suspects,20
https://coinlineup.com/bitcoin-etf-outflows-hit-225m-as-eth-and-sol-spot-funds-also-bleed/,https://coinlineup.com/bitcoin-etf-outflows-btc-eth-sol-spot-funds/,Bitcoin ETF Outflows Hit $225M as ETH and SOL Spot Funds Also Bleed,100,40,high,https://coinlineup.com/ark-invest-bitcoin-etf-outflow-spot-funds-171m-drain/,Ark Invest Bitcoin ETF Loses $30M as Spot Funds Record $171M Outflow,40,https://coinlineup.com/gate-research-bitcoin-etf-inflows-short-covering-btc-eth-trend-release-phase/,Gate Research: Bitcoin ETF Inflows and Short Covering Signal BTC and ETH Trend Release,30
https://coinlineup.com/bitcoin-nears-70k-as-seller-resistance-builds/,https://coinlineup.com/bitcoin-nears-70k-seller-resistance/,Bitcoin Nears $70K as Seller Resistance Builds,60,20,high,https://coinlineup.com/peter-schiff-sell-bitcoin-buy-gold-silver-btc-nears-75k/,Peter Schiff Says Sell Bitcoin and Buy Gold as BTC Nears $75K,20,https://coinlineup.com/anthony-scaramucci-tells-bitcoin-holders-to-stay-calm/,Anthony Scaramucci Tells Bitcoin Holders to Stay Calm After BTC Slide,10
https://coinlineup.com/bitcoin-traders-dump-btc-within-48-hours-of-fed-meetings-heres-the-pattern/,https://coinlineup.com/bitcoin-traders-dump-fed-meetings/,Bitcoin Traders Dump BTC Within 48 Hours of Fed Meetings — Here&#8217;s the Pattern,100,80,high,https://coinlineup.com/bitcoin-fomc-weakness-traders-dump-coins-fed-meetings/,"Bitcoin Dumps Within 48 Hours of Fed Meetings, New Data Shows Systematic FOMC Weakness",80,https://coinlineup.com/bitcoin-traders-april-gains-fed-date-rally-risk/,"Bitcoin Traders Cheer April Gains, but One Fed Date Could Reverse the Rally",30
https://coinlineup.com/blackrock-etf-wallets-move-49m-in-btc-and-eth-to-coinbase-prime/,https://coinlineup.com/blackrock-etf-wallets-move-49m-btc-eth-coinbase-prime/,BlackRock ETF Wallets Move $49M in BTC and ETH to Coinbase Prime,90,50,high,https://coinlineup.com/blackrock-eth-btc-coinbase-prime/,BlackRock Allegedly Deposits ETH and BTC on Coinbase Prime,50,https://coinlineup.com/blackrock-etha-transfers-crypto-assets-to-coinbase/,"BlackRock Transfers $664M in ETH, BTC to Coinbase Prime",50
https://coinlineup.com/cftc-chair-michael-selig-says-financial-systems-are-outdated-highlights-blockchain/,https://coinlineup.com/cftc-chair-michael-selig-financial-systems-outdated-blockchain-networks/,"CFTC Chair Michael Selig Says Financial Systems Are Outdated, Highlights Blockchain",100,40,high,https://coinlineup.com/michael-selig-blockchain-modernize-finance/,Michael Selig Says Blockchain Can Modernize Finance,40,https://coinlineup.com/michael-selig-cftc-chairman-crypto-regulation/,Michael Selig Appointed CFTC Chairman: Faces Crypto Regulation Challenges,30
https://coinlineup.com/circle-announces-cirbtc-a-1-1-bitcoin-backed-token/,https://coinlineup.com/circle-cirbtc-bitcoin-backed-token-onchain-reserves/,"Circle Announces cirBTC, a 1:1 Bitcoin-Backed Token",70,10,high,https://coinlineup.com/anthony-scaramucci-tells-bitcoin-holders-to-stay-calm/,Anthony Scaramucci Tells Bitcoin Holders to Stay Calm After BTC Slide,10,https://coinlineup.com/banks-rate-strategy-buy-274m-stock-bitcoin-purchases/,Banks Rate Strategy a Buy as It Raises $274M for Bitcoin Purchases,10
https://coinlineup.com/crypto-could-move-719t-in-global-payments-as-visa-mastercard-push-ahead/,https://coinlineup.com/crypto-719-trillion-global-payments-visa-mastercard/,"Crypto Could Move $719T in Global Payments as Visa, Mastercard Push Ahead",90,20,high,https://coinlineup.com/coinbase-ai-agents-crypto-payments-cloudflare-stablecoin/,"Coinbase Pushes AI Agents to Use Crypto Payments, Pursues Stablecoin Deal With Cloudflare",20,https://coinlineup.com/mastercard-bvnk-acquisition-crypto-fiat-network-connector/,Mizuho: Mastercard BVNK Acquisition Creates Crypto-Fiat Network Connector,20
https://coinlineup.com/crypto-news-march-27-bitcoin-beats-gold-in-iran-crisis-mara-sells-1-1b-btc-sacks-exits/,https://coinlineup.com/crypto-news-march-27-2026/,"Crypto News March 27: Bitcoin Beats Gold in Iran Crisis, MARA Sells $1.1B BTC, Sacks Exits",160,40,high,https://coinlineup.com/blackrock-crypto-hiring-sui-unlock-bitcoin-floor-march-30-2026/,BlackRock Bets Big on Crypto as Fear Index Hits 8 — March 30 News,40,https://coinlineup.com/crypto-news-march-26-morgan-stanley-bitcoin-etf-cftc-perpetuals-clarity-act/,"Crypto News March 26: Morgan Stanley Bitcoin ETF Imminent, CFTC Bringing Perpetuals Home, CLARITY Act Hammers Circle and Coinbase",40
https://coinlineup.com/crypto-news-recap-czs-freedom-of-money-and-top-24-hour-updates/,https://coinlineup.com/crypto-news-recap-last-24-hours-cz-freedom-of-money/,Crypto News Recap: CZ’s ‘Freedom of Money’ and Top 24-Hour Updates,90,20,high,https://coinlineup.com/binance-founder-cz-freedom-of-money-autobiography/,Binance Founder CZ Releases &#8220;Freedom of Money&#8221;: Key Insights From His Autobiography,20,https://coinlineup.com/senator-lummis-endorsement-bitcoin-freedom-money/,Senator Lummis Endorses Bitcoin as &#8216;Freedom Money&#8217;,20
