URL,Type,Status Code,Indexability,In Sitemap,Orphan URL,Noindex Signal,Canonical Missing,Canonicalised,Meta Missing,Meta Duplicate,Title Duplicate,Title Over 60,Backlink Rows,Referring Domains,Follow Rows,Suggested Action,Replacement URL,Priority,Decision Confidence,Notes
https://coinlineup.com/uncategorized/,uncategorized,200,Indexable,yes,no,no,no,no,yes,no,no,no,0,0,0,301,https://coinlineup.com/news/,Critical,Medium,Thin taxonomy should be retired after reassignment
https://coinlineup.com/bookmarks/,utility,200,Indexable,yes,yes,no,no,no,yes,no,no,no,0,0,0,noindex,,Critical,High,User utility URL should not compete in search | Orphan in Screaming Frog export
https://coinlineup.com/login/,utility,200,Indexable,yes,no,no,no,no,yes,no,no,no,0,0,0,noindex,,Critical,High,User utility URL should not compete in search
https://coinlineup.com/my-account/,utility,200,Indexable,yes,no,no,no,no,yes,no,no,no,0,0,0,noindex,,Critical,High,User utility URL should not compete in search
https://coinlineup.com/my-follows/,utility,200,Indexable,yes,no,no,no,no,yes,no,no,no,0,0,0,noindex,,Critical,High,User utility URL should not compete in search
https://coinlineup.com/,homepage,200,Indexable,yes,no,no,no,no,no,no,no,no,339,156,147,keep,,Critical,High,Primary authority URL
https://coinlineup.com/206-million-crypto-liquidations-24-hours/,article,301,Non-Indexable,no,no,no,no,no,no,no,no,no,0,0,0,301,https://coinlineup.com/206-million-crypto-liquidations-24-hours-long-positions/,High,High,Existing redirect URL should be reviewed
https://coinlineup.com/abracadabra-hack-treasury-buyback/abracadabra-hack-treasury-buyback,article,301,Non-Indexable,no,no,no,no,no,no,no,no,no,0,0,0,301,https://coinlineup.com/abracadabra-hack-treasury-buyback/,High,High,Existing redirect URL should be reviewed
https://coinlineup.com/after-the-285m-drift-hack-solanas-new-scare-points-to-insider-crypto-risk/,article,404,Non-Indexable,no,no,no,no,no,no,no,no,no,1,1,0,301,,High,Medium,Broken URL still has backlink value; map to closest same-intent live URL
https://coinlineup.com/aker-asa-bitcoin-holdings-strategy-diversification/aker-asa-bitcoin-holdings-strategy-diversification,article,301,Non-Indexable,no,no,no,no,no,no,no,no,no,0,0,0,301,https://coinlineup.com/aker-asa-bitcoin-holdings-strategy-diversification/,High,High,Existing redirect URL should be reviewed
