"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://coinlineup.com/currencies/人生K线/人生k线/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0,662","",""
"https://www.coingecko.com/en/coins/xrp","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","3","0,184","",""
"https://blockworks.com/news/tokenized-stocks-on-ethereum","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0,154","",""
"https://coinlineup.com/fednow-vs-xrp-why-the-fed-threatens-xrps-payment-use-case/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0,567","",""
"https://coinlineup.com/fednow-vs-xrp-fed-threatens-payment-use-case/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0,621","",""
"https://coinlineup.com/top-projects/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","200","0,598","",""
"https://coinlineup.com/hyperbridge-exploit-mints-1b-fake-dot-on-ethereum-nets-237k/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","2","0,622","",""
"https://www.apemars.com/tc-Coinlineup/?utm_source=Coinlineup&utm_medium=1304-00%3A15+Cardano+News+Today+%26+Best+Crypto+to+Buy+Now%3A+APEMARS+Leads+Stage+16+Opportunity+With+XRP+in+Focus+ZK-5096-ND-6218&utm_campaign=ZK-5096-ND-6218","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","9","0,188","",""
"https://coinlineup.com/shiba-inu-coin/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","192","0,529","",""
"https://coinlineup.com/ondo-sec-relief-tokenized-securities-ethereum/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","2","0,584","",""
"https://coinlineup.com/justin-sun-accuses-wlfi-opaque-governance-unfair-lockups/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","2","0,480","",""
"https://coinlineup.com/bitcoin-quantum-scare-bernstein-upgrade-window/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0,710","",""
"https://coinlineup.com/fednow-vs-xrp-payment-use-case/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0,647","",""
"https://coinlineup.com/bridged-dot-exploit-ethereum-mints-1b-tokens/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0,809","",""
"https://coinlineup.com/you-watched-floki-and-dogecoin-run-without-you-once-now-apemars-enters-top-meme-coin-presale-2026-with-2363-roi/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","2","0,640","",""
