"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://auscryptocon.com/","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error","1","0,536","",""
"https://cryptorank.io/news/feed/09a5f-eth-price-recovery-to-3000-soon-amid-staking-push-for-ethereum-etfs","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,184","",""
"https://finance.yahoo.com/quote/ETH-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","0,963","",""
"https://finance.yahoo.com/quote/DOT-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","1,047","",""
"https://finance.yahoo.com/quote/LINK-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","1,064","",""
"https://finance.yahoo.com/quote/ADA-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","1,127","",""
"https://finance.yahoo.com/quote/MANA-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","1,408","",""
"https://finance.yahoo.com/quote/SOL-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","0,998","",""
"https://finance.yahoo.com/quote/BTC-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","1,017","",""
"https://digitalrevolutionsummit.com/bahrain/","text/html; charset=iso-8859-1","500","Internal Server Error","Non-Indexable","Server Error","2","0,614","",""
"https://finance.yahoo.com/quote/MATIC-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","1,028","",""
"https://finance.yahoo.com/quote/AVAX-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","1,010","",""
"https://cryptorank.io/news/feed/3560d-coinbase-sup-listing-cryptocurrency","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,167","",""
"https://finance.yahoo.com/quote/LUNA-USD/history/","text/html","503","Service Unavailable","Non-Indexable","Server Error","1","1,031","",""
"https://cryptorank.io/news/feed/f610b-binances-cz-calls-for-bank-adoption-as-bnb-overtakes-ubs","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,181","",""
"https://cryptorank.io/news/feed/3da1e-forward-industries-faces-1-b-unrealized-sol-loss-targets-rivals","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,161","",""
"https://cryptorank.io/news/feed/f9373-japans-remixpoint-buys-another-3-4m-worth-of-bitcoin","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,168","",""
"https://www.dlnews.com/articles/people-culture/blackrock-beefs-up-quantum-compute-threats-bitcoin-investors/","text/html; charset=utf-8","500","","Non-Indexable","Server Error","1","1,012","",""
"https://cryptorank.io/news/feed/9b4db-eth-withdrawals-falconx-impact","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,137","",""
"https://coinlineup.com/wp-content/uploads/2026/02/Bitcoin-steadies-as-quantum-risk-shapes-2026-upgrade-debate.jpg","text/html; charset=UTF-8","522","<none>","Non-Indexable","Server Error","2","19,435","",""
"https://cryptorank.io/news/feed/cf9b1-bitcoin-price-falls-below-102k","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,378","",""
"https://goonus.io/en/research/gps/","text/html; charset=UTF-8","525","<none>","Non-Indexable","Server Error","1","0,107","",""
"https://cryptorank.io/news/feed/50034-big-news-standard-chartered-sees-10x-eth-demand-from-firms","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,230","",""
"https://cryptorank.io/news/feed/98bf0-us-spot-bitcoin-etfs-outflow","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,188","",""
"https://cryptorank.io/news/feed/868f4-senate-finance-committee-to-scrutinize-digital-asset-taxation-in-oct-1-hearing","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,166","",""
"https://cryptorank.io/news/feed/db24a-bitcoin-price-must-defend-90k-support-or-risk-drop-to-76k","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,185","",""
"https://goonus.io/en/insights/a-newly-created-wallet-deposited-nearly-149028-uni-tokens-worth-1-67-million-usd-into-binance","text/html; charset=UTF-8","525","<none>","Non-Indexable","Server Error","1","0,152","",""
"https://cryptorank.io/news/feed/079bb-whats-next-for-the-bitcoin-price-expert-forecasts-potential-20-price-crash-ahead","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,190","",""
"https://coinlineup.com/wp-content/uploads/2025/11/ethereum-etf-inflows-blackrock-grayscale-file-150x150.jpeg","text/html; charset=UTF-8","522","<none>","Non-Indexable","Server Error","0","19,502","",""
"https://cryptorank.io/news/feed/c2bca-nasdaq-puts-132-billion-crypto-treasury-rush-on-hold-with-surprise-vote-rule","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,204","",""
"https://cryptorank.io/news/feed/16fee-binance-october-crash-zhao-rebuttal","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,160","",""
"https://www.crypto-news.com/","text/html; charset=UTF-8","522","<none>","Non-Indexable","Server Error","1","0,172","",""
"https://coinlineup.com/wp-content/uploads/2025/04/coinbase-bitcoin-yield-fund-launch.png","text/html; charset=UTF-8","522","<none>","Non-Indexable","Server Error","2","20,484","",""
"https://coinlineup.com/wp-content/uploads/2025/05/oregon-sb167-digital-asset-regulation-150x150.jpg","text/html; charset=UTF-8","522","<none>","Non-Indexable","Server Error","0","20,674","",""
"https://cryptorank.io/news/feed/5c093-iconic-satoshi-nakamoto-statue-recovered-vandalism","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,145","",""
"https://cryptorank.io/news/feed/61abb-cardano-ada-price-prediction-for-july-2025","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,364","",""
"https://cryptorank.io/news/feed/3f422-did-the-ethereum-foundation-just-sell-12-8m-in-eth","text/html; charset=utf-8","500","Internal Server Error","Non-Indexable","Server Error","1","1,199","",""
