"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://coinlineup.com/cmc-currency-details-advanced-design/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error"
"https://coinlineup.com/wp-content/uploads/2025/04/gamestop-bitcoin-investment.png","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error"
"https://coinlineup.com/wp-content/uploads/2025/04/latest-updates-alicharts-mitrade.png","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error"
"https://coinlineup.com/wp-content/uploads/","text/html","403","Forbidden","Non-Indexable","Client Error"
"https://coinlineup.com/wp-content/uploads/2026/02/Bitcoin-steadies-as-quantum-risk-shapes-2026-upgrade-debate.jpg","text/html; charset=UTF-8","522","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/04/china-tariff-impact-on-crypto.png","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error"
"https://coinlineup.com/wp-content/uploads/2025/04/coinbase-bitcoin-yield-fund-launch.png","text/html; charset=UTF-8","522","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/04/future-of-web3-2025-predictions.png","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error"
"https://coinlineup.com/wp-content/uploads/2025/04/altseason-guide-crypto-investors.png","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error"
"https://coinlineup.com/wp-content/uploads/2025/08/mogo-inc-divests-wonderfi-stake.jpg","text/html; charset=UTF-8","522","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/09/gemini-ipo-retail-investors-crypto-file.jpeg","text/html; charset=UTF-8","525","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2026/01/netherlands-tax-bitcoin-gains-2028-file.jpeg","text/html; charset=UTF-8","525","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2026/01/preferred-stock-beats-convertibles-file.jpeg","","0","Connection Timeout","Non-Indexable","No Response"
"https://coinlineup.com/wp-content/uploads/2025/12/coinbase-kalshi-prediction-market-file.jpeg","text/html; charset=UTF-8","522","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/06/2025-06-10T160609.824Zunnamed.png","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/animoca-brands-tai-po-fire-relief/","","0","Connection Timeout","Non-Indexable","No Response"
"https://coinlineup.com/wp-content/uploads/2025/07/uae-golden-visa-tension-news.jpg","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/cold-wallets-4900-roi-tops-aaves-rally-and-shiba-inus-hype/","","0","Connection Timeout","Non-Indexable","No Response"
"https://coinlineup.com/wp-content/uploads/2026/01/image-49.png","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/11/bitcoin-95000-challenge-event-file.jpeg","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/06/aave-lending-record-16-billion.jpg","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/zero-knowledge-proof-zkp-spent-100m-first-and-its-presale-auction-structure-is-now-tightening/","","0","Connection Timeout","Non-Indexable","No Response"
"https://coinlineup.com/wp-content/uploads/2025/06/evaluating-point-accumulation-issues.jpg","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2026/01/hoskinson-criticizes-ripple-ceo-file.jpeg","text/html; charset=UTF-8","525","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/10/blackrock-bitcoin-etf-surge-file.jpeg","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2026/01/image-52.png","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/04/binance-trump-crypto-deal-talks.png","text/html; charset=UTF-8","525","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2026/02/Bitcoin-holds-as-FOMC-minutes-flag-rate-hike-scenario.jpg","","0","Connection Timeout","Non-Indexable","No Response"
"https://coinlineup.com/wp-content/uploads/2025/05/usdc-treasury-mints-100m-ethereum.jpg","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/09/massive-uxlink-loss-report-file.jpeg","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/10/dwf-labs-aids-crypto-projects-file.jpeg","text/html; charset=UTF-8","520","<none>","Non-Indexable","Server Error"
"https://coinlineup.com/wp-content/uploads/2025/04/money-mason-finance-insights.png","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error"
