URL,Pattern,Status Code,All Inlinks Rows,Backlink Rows,Referring Domains,Top Inlink Sources,Suggested Action,Notes
https://tokentopnews.com/aave-surges-aptos-v3-launch/N/A,bad_path_suffix_NA,404,1,0,0,/aave-surges-aptos-v3-launch/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/aguilatrades-bitcoin-long-position-market-impact/N/A,bad_path_suffix_NA,404,1,0,0,/aguilatrades-bitcoin-long-position-market-impact/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/altcoins-gain-during-metals-rally/N/A,bad_path_suffix_NA,404,3,0,0,/altcoins-gain-during-metals-rally/ (3),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/binance-alpha-myx-airdrop-second-batch/N/A,bad_path_suffix_NA,404,1,0,0,/binance-alpha-myx-airdrop-second-batch/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/bitcoin-cash-drop-coindesk-20-index/N/A,bad_path_suffix_NA,404,1,0,0,/bitcoin-cash-drop-coindesk-20-index/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/bitcoin-dips-gold-bonds-rise/N/A,bad_path_suffix_NA,404,1,0,0,/bitcoin-dips-gold-bonds-rise/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/bitcoin-ethereum-etf-demand-increases-may-2025/N/A,bad_path_suffix_NA,404,7,0,0,/bitcoin-ethereum-etf-demand-increases-may-2025/ (7),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/bitcoin-liquidation-risk-below-105k/N/A,bad_path_suffix_NA,404,1,0,0,/bitcoin-liquidation-risk-below-105k/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/bitcoin-whale-40k-eth-long/N/A,bad_path_suffix_NA,404,2,0,0,/bitcoin-whale-40k-eth-long/ (2),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/bitcoin-whales-trim-holdings-market-reaction/N/A,bad_path_suffix_NA,404,1,0,0,/bitcoin-whales-trim-holdings-market-reaction/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/bithumb-trading-warnings-felaz-synthetix/N/A,bad_path_suffix_NA,404,2,0,0,/bithumb-trading-warnings-felaz-synthetix/ (2),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/bullish-nyse-listing-83-percent-surge/N/A,bad_path_suffix_NA,404,1,0,0,/bullish-nyse-listing-83-percent-surge/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/crypto-market-loses-260-billion-volatility/N/A,bad_path_suffix_NA,404,1,0,0,/crypto-market-loses-260-billion-volatility/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/deutsche-bank-crypto-custody-2026/N/A,bad_path_suffix_NA,404,1,0,0,/deutsche-bank-crypto-custody-2026/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/ethereum-etf-inflows-altcoin-rally-potential/N/A,bad_path_suffix_NA,404,1,0,0,/ethereum-etf-inflows-altcoin-rally-potential/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/ethereum-pos-validator-queue-shift/N/A,bad_path_suffix_NA,404,1,0,0,/ethereum-pos-validator-queue-shift/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/ethereum-treasury-strategy-11billion-value/N/A,bad_path_suffix_NA,404,3,0,0,/ethereum-treasury-strategy-11billion-value/ (3),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/eu-us-tariff-negotiations-industrial-agricultural/N/A,bad_path_suffix_NA,404,2,0,0,/eu-us-tariff-negotiations-industrial-agricultural/ (2),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/gold-price-drop-crypto-impact/N/A,bad_path_suffix_NA,404,1,0,0,/gold-price-drop-crypto-impact/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/goldman-sachs-fed-rate-cut-2025/N/A,bad_path_suffix_NA,404,1,0,0,/goldman-sachs-fed-rate-cut-2025/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/h100-group-expands-bitcoin-operations-switzerland/N/A,bad_path_suffix_NA,404,1,0,0,/h100-group-expands-bitcoin-operations-switzerland/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/hyperion-defi-hype-token-surge/N/A,bad_path_suffix_NA,404,1,0,0,/hyperion-defi-hype-token-surge/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/james-wynn-high-leverage-bitcoin-bet/N/A,bad_path_suffix_NA,404,1,0,0,/james-wynn-high-leverage-bitcoin-bet/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/port3-liquidity-removal-exchange-actions/N/A,bad_path_suffix_NA,404,6,0,0,/port3-liquidity-removal-exchange-actions/ (6),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/sharplink-acquires-475-million-ethereum/N/A,bad_path_suffix_NA,404,2,0,0,/sharplink-acquires-475-million-ethereum/ (2),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/sharplink-gaming-ethereum-market-reaction/N/A,bad_path_suffix_NA,404,1,0,0,/sharplink-gaming-ethereum-market-reaction/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/solana-whale-binance-withdrawal-staking/N/A,bad_path_suffix_NA,404,1,0,0,/solana-whale-binance-withdrawal-staking/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/trump-semiconductor-tariff-increase/N/A,bad_path_suffix_NA,404,1,0,0,/trump-semiconductor-tariff-increase/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/trump-team-transfer-tokens-binance/N/A,bad_path_suffix_NA,404,1,0,0,/trump-team-transfer-tokens-binance/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/us-treasury-tariff-increase-warning/N/A,bad_path_suffix_NA,404,1,0,0,/us-treasury-tariff-increase-warning/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/usd0-phishing-loss-claims-market-impact/N/A,bad_path_suffix_NA,404,4,0,0,/usd0-phishing-loss-claims-market-impact/ (4),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/whale-increases-hype-usdc-deposit/N/A,bad_path_suffix_NA,404,1,0,0,/whale-increases-hype-usdc-deposit/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/xrp-price-drops-market-pressures/N/A,bad_path_suffix_NA,404,1,0,0,/xrp-price-drops-market-pressures/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/xrp-price-falls-resistance-rejection/N/A,bad_path_suffix_NA,404,11,0,0,/xrp-price-falls-resistance-rejection/ (11),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/b-riley-whitefiber-stock-upside/No%20URL%20provided,bad_path_suffix_URL,404,1,0,0,/b-riley-whitefiber-stock-upside/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/believe-raises-creator-fees-solana/URL,bad_path_suffix_URL,404,1,0,0,/believe-raises-creator-fees-solana/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/binance-wlfi-funding-rate-falls-volatility/URL,bad_path_suffix_URL,404,1,0,0,/binance-wlfi-funding-rate-falls-volatility/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
https://tokentopnews.com/dollar-index-drop-crypto-rise-predicted/URL,bad_path_suffix_URL,404,1,0,0,/dollar-index-drop-crypto-rise-predicted/ (1),410,Malformed or placeholder-derived URL with no safe canonical destination inferred.
