Ngày,Các trang bị ảnh hưởng
2026-01-20,126
2026-01-21,133
2026-01-22,133
2026-01-23,133
2026-01-24,133
2026-01-25,141
2026-01-26,141
2026-01-27,141
2026-01-28,155
2026-01-29,155
2026-01-30,155
2026-01-31,155
2026-02-01,162
2026-02-02,162
2026-02-03,162
2026-02-04,176
2026-02-05,176
2026-02-06,176
2026-02-07,176
2026-02-08,180
2026-02-09,180
2026-02-10,180
2026-02-11,186
2026-02-12,186
2026-02-13,186
2026-02-14,186
2026-02-15,194
2026-02-16,194
2026-02-17,194
2026-02-18,202
2026-02-19,202
2026-02-20,202
2026-02-21,202
2026-02-22,210
2026-02-23,210
2026-02-24,210
2026-02-25,228
2026-02-26,228
2026-02-27,228
2026-02-28,228
2026-03-01,228
2026-03-02,228
2026-03-03,228
2026-03-04,237
2026-03-05,237
2026-03-06,237
2026-03-07,237
2026-03-08,244
2026-03-09,244
2026-03-10,244
2026-03-11,253
2026-03-12,253
2026-03-13,253
2026-03-14,253
2026-03-15,253
2026-03-16,254
2026-03-17,254
2026-03-18,264
2026-03-19,264
2026-03-20,264
2026-03-21,264
2026-03-22,270
2026-03-23,270
2026-03-24,270
2026-03-25,278
2026-03-26,278
2026-03-27,278
2026-03-28,278
2026-03-29,289
2026-03-30,289
2026-03-31,289
2026-04-01,295
2026-04-02,295
2026-04-03,295
2026-04-04,295
2026-04-05,301
2026-04-06,301
2026-04-07,308
2026-04-08,308
2026-04-09,308
2026-04-10,308
2026-04-11,312
2026-04-12,312
2026-04-13,312
