Quốc gia,Lượt nhấp,Lượt hiển thị,CTR,Vị trí
Ấn Độ,20,77,25.97%,2.03
Việt Nam,17,1034,1.64%,2.03
Hoa Kỳ,16,429,3.73%,4.13
Indonesia,16,29,55.17%,3.38
Ukraine,6,12,50%,1
Áo,5,11,45.45%,5.45
Pakistan,4,111,3.6%,1.14
Vương quốc Anh,4,18,22.22%,18.78
Nga,4,10,40%,1
Úc,4,8,50%,11.38
Singapore,4,5,80%,3.2
Bangladesh,3,18,16.67%,1
Brazil,3,14,21.43%,8.64
Canada,3,14,21.43%,9
Nhật Bản,3,13,23.08%,1.92
Đức,3,7,42.86%,22
Nigeria,3,5,60%,1
Ireland,3,5,60%,2.8
Philippin,2,13,15.38%,9.31
Malaysia,2,7,28.57%,3.43
Hà Lan,2,3,66.67%,1
Bulgari,2,3,66.67%,6.67
Pháp,1,4,25%,3.5
Mexico,1,4,25%,15.25
Hong Kong,1,3,33.33%,1
Tây Ban Nha,1,3,33.33%,45.67
Argentina,1,2,50%,1
Ma-rốc,1,2,50%,1
Thái Lan,1,2,50%,1
Trung Quốc,1,1,100%,1
Estonia,1,1,100%,1
Ghana,1,1,100%,1
Lithuania,1,1,100%,1
Montenegro,1,1,100%,1
Tiếng Bồ Đào Nha,1,1,100%,1
Ả-rập Xê-út,1,1,100%,1
Ba Lan,0,8,0%,21.5
Ý,0,8,0%,56.5
Các Tiểu Vương quốc Ả Rập Thống nhất,0,7,0%,2.29
Campuchia,0,6,0%,1
Thổ Nhĩ Kỳ,0,6,0%,1
Uzbekistan,0,4,0%,1
I-ran,0,3,0%,1
Hàn Quốc,0,3,0%,1
New Zealand,0,3,0%,1
I-rắc,0,3,0%,4
Venezuela,0,3,0%,6
Jordan,0,3,0%,45.33
Ecuador,0,2,0%,1
Honduras,0,2,0%,1
Kenya,0,2,0%,1
Kyrgyzstan,0,2,0%,1
Rwanda,0,2,0%,1
Serbia,0,2,0%,1
Uruguay,0,2,0%,1
Angola,0,1,0%,1
Azerbaijan,0,1,0%,1
Bỉ,0,1,0%,1
Thuỵ Sĩ,0,1,0%,1
Costa Rica,0,1,0%,1
Đảo Síp,0,1,0%,1
Algeria,0,1,0%,1
Ai Cập,0,1,0%,1
Hungary,0,1,0%,1
Jamaica,0,1,0%,1
Kazakhstan,0,1,0%,1
Latvia,0,1,0%,1
Suriname,0,1,0%,1
St. Vincent và Grenadines,0,1,0%,10
Trinidad và Tobago,0,1,0%,63
Colombia,0,1,0%,78
Bahamas,0,1,0%,91
