"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","Clicks","Impressions","CTR","Position","URL Encoded Address","Crawl Timestamp"
"https://tokentopnews.com/cryptocurrency-news/bitcoin/page/4/","text/html; charset=UTF-8","200","OK","Indexable","","Bitcoin News – Price Analysis, Market Trends & Updates - TokenTopNews","69","654","","0","0","Stay up to date with the latest Bitcoin news and analysis. Explore BTC price predictions, expert insights, and real-time updates from the crypto market.","152","923","","0","0","","0","Category: Bitcoin","17","","0","Featured Bitcoin Topics","23","Bitcoin Crashes: The $92K Plunge That Shook the Crypto Market","61","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/4/","","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/3/","","","","267566","55392","970","255","3,804","84,185","Easy","7,722","2","4","1","5","4","0","0,030","306","87","0","0","0","0","","","","","298282c72cb9281a56937f9a27159690","0,822","","","","","1.1","","","","","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/4/","2026-04-14 22:00:32"
"https://tokentopnews.com/cryptocurrency-news/bitcoin/page/2/","text/html; charset=UTF-8","200","OK","Indexable","","Bitcoin News – Price Analysis, Market Trends & Updates - TokenTopNews","69","654","","0","0","Stay up to date with the latest Bitcoin news and analysis. Explore BTC price predictions, expert insights, and real-time updates from the crypto market.","152","923","","0","0","","0","Category: Bitcoin","17","","0","Featured Bitcoin Topics","23","Morgan Stanley Bitcoin ETF Could Bring $160 Billion to Market","61","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/2/","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/3/","https://tokentopnews.com/cryptocurrency-news/bitcoin/","","","","274263","54505","894","209","4,278","100,000","Very Easy","7,363","2","4","1","6","4","0","0,030","256","93","0","0","0","0","","","","","18d3ff116b8be5ff18750ad90dc67480","0,763","","","","","1.1","","","","","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/2/","2026-04-14 22:00:39"
"https://tokentopnews.com/cryptocurrency-news/bitcoin/page/3/","text/html; charset=UTF-8","200","OK","Indexable","","Bitcoin News – Price Analysis, Market Trends & Updates - TokenTopNews","69","654","","0","0","Stay up to date with the latest Bitcoin news and analysis. Explore BTC price predictions, expert insights, and real-time updates from the crypto market.","152","923","","0","0","","0","Category: Bitcoin","17","","0","Featured Bitcoin Topics","23","Bitcoin stalls as ETF flows mask bear-market signals","52","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/3/","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/4/","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/2/","","","","276934","55658","987","262","3,767","86,268","Easy","7,546","2","4","1","6","4","0","0,030","317","93","0","0","0","0","","","","","84c0b86703c756f76acb20997c964164","0,686","","","","","1.1","","","","","https://tokentopnews.com/cryptocurrency-news/bitcoin/page/3/","2026-04-14 22:00:41"
"https://tokentopnews.com/narratives/page/3/","text/html; charset=UTF-8","200","OK","Indexable","","% - News - TokenTopNews","23","236","","0","0","Read the latest articles about Narratives on TokenTopNews. News, tutorials, and in-depth analysis every day.","108","672","","0","0","","0","Category: Narratives","20","","0","Morgan Stanley warns of contracting stablecoin market due to rate hike","70","Barclays Bank invests millions in crypto companies","50","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/narratives/page/3/","","https://tokentopnews.com/narratives/page/2/","","","","224714","52798","686","171","4,012","81,043","Easy","8,224","3","3","1","4","3","0","0,020","216","66","0","0","0","0","","","","","501b9298dd3ea02ff411deb0c6553cfa","0,774","","","","","1.1","","","","","https://tokentopnews.com/narratives/page/3/","2026-04-14 22:04:16"
"https://tokentopnews.com/narratives/page/2/","text/html; charset=UTF-8","200","OK","Indexable","","% - News - TokenTopNews","23","236","","0","0","Read the latest articles about Narratives on TokenTopNews. News, tutorials, and in-depth analysis every day.","108","672","","0","0","","0","Category: Narratives","20","","0","BNB Surpasses XRP as Third-Largest Cryptocurrency","49","Ethereum Surges as Institutional Staking Rises","46","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/narratives/page/2/","https://tokentopnews.com/narratives/page/3/","https://tokentopnews.com/narratives/","","","","272304","55134","902","250","3,608","78,430","Fairly Easy","7,542","3","3","1","5","3","0","0,020","312","89","0","0","0","0","","","","","52feb90ad251dd39fe881bc5da3541b7","0,700","","","","","1.1","","","","","https://tokentopnews.com/narratives/page/2/","2026-04-14 22:04:18"
"https://tokentopnews.com/tag/blockchain/page/2/","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","blockchain Archives - Page 2 of 2 - TokenTopNews","48","449","","0","0","A blockchain is a decentralized ledger of all transactions across a peer-to-peer network. Using this technology, participants can confirm transactions","150","913","","0","0","","0","Tag: blockchain","15","","0","Copper.co integrates Elrond for custodial services of Elrond blockchain assets","78","5 altcoins to look out for according to crypto analyst Lark Davis","65","noindex, follow","","","","","","","","","263506","56342","898","207","4,338","74,119","Fairly Easy","7,804","4","4","1","3","2","0","0,010","253","82","0","0","0","0","","","","","23aac22e4c096c971567978b468d5c0a","0,802","","","","","1.1","","","","","https://tokentopnews.com/tag/blockchain/page/2/","2026-04-14 22:17:32"
"https://tokentopnews.com/macro/regulation/page/2/","text/html; charset=UTF-8","200","OK","Indexable","","Crypto Regulation News: Global Policy & Compliance Updates - TokenTopNews","73","700","","0","0","Track crypto regulation news, blockchain laws, and compliance updates from around the world. Stay informed with TokenTopNews.","125","813","","0","0","","0","Category: Regulation","20","","0","Featured Regulation Topics","26","GENIUS Act Enhances U.S. Stablecoin Market Regulations","54","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/macro/regulation/page/2/","","https://tokentopnews.com/macro/regulation/","","","","155002","47709","222","46","4,826","66,653","Normal","9,689","2","4","1","3","2","0","0,010","58","42","0","0","0","0","","","","","7446b3d927f756a909c339516acd4254","0,857","","","","","1.1","","","","","https://tokentopnews.com/macro/regulation/page/2/","2026-04-14 22:00:13"
"https://tokentopnews.com/tag/aprz/page/2/","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","$APRZ Archives - Page 2 of 2 - TokenTopNews","43","415","","0","0","","0","0","","0","0","","0","Tag: $APRZ","10","","0","APEMARS Presale Is Live: 32,000%+ ROI Leads as Top Crypto to Buy Now Charts As Dogwifhat and $PNUT Grow","103","Next 100x Meme Coin Alert: Why These 12 Meme Tokens Are Capturing Investor Attention Right Now","94","noindex, follow","","","","","","","","","185242","50820","393","91","4,319","96,755","Very Easy","8,747","4","4","1","3","2","0","0,010","110","51","0","0","0","0","","","","","d8ab321da882a0d7f5c161193956caa9","0,801","","","","","1.1","","","","","https://tokentopnews.com/tag/aprz/page/2/","2026-04-14 22:34:51"
"https://tokentopnews.com/sponsored-articles/page/22/","text/html; charset=UTF-8","200","OK","Indexable","","Sponsored Crypto Articles & Partnered Blockchain Features - TokenTopNews","72","682","","0","0","Read sponsored crypto content and paid blockchain project features verified by TokenTopNews. Transparent and trusted promotional coverage.","138","891","","0","0","","0","Category: Sponsored Articles","28","","0","Featured Sponsored Sections","27","Top Crypto Gainers to Watch in 2025: Unstaked, Audius, XCAD, & Rally Lead the Way","81","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/sponsored-articles/page/22/","","https://tokentopnews.com/sponsored-articles/page/21/","","","","265898","56301","1205","285","4,228","100,000","Very Easy","8,193","2","3","1","23","22","0","0,140","278","85","0","0","0","0","","","","","595f91eb2970228555c5eeae9682600d","0,844","","","","","1.1","","","","","https://tokentopnews.com/sponsored-articles/page/22/","2026-04-14 22:00:54"
"https://tokentopnews.com/sponsored-articles/page/21/","text/html; charset=UTF-8","200","OK","Indexable","","Sponsored Crypto Articles & Partnered Blockchain Features - TokenTopNews","72","682","","0","0","Read sponsored crypto content and paid blockchain project features verified by TokenTopNews. Transparent and trusted promotional coverage.","138","891","","0","0","","0","Category: Sponsored Articles","28","","0","Featured Sponsored Sections","27","Best New Crypto to Buy Right Now [ April Picks 2025]","52","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://tokentopnews.com/sponsored-articles/page/21/","https://tokentopnews.com/sponsored-articles/page/22/","https://tokentopnews.com/sponsored-articles/page/20/","","","","273966","55874","1211","299","4,050","99,122","Very Easy","8,092","3","3","1","6","4","0","0,030","306","91","0","0","0","0","","","","","24d867ce086c9f288165fb3f554a9c5d","0,807","","","","","1.1","","","","","https://tokentopnews.com/sponsored-articles/page/21/","2026-04-14 22:04:04"
