"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.example.com/21shares-bitcoin-gold-etp-lse-launch","text/html","404","Not Found","Non-Indexable","Client Error","1","0,125","",""
"https://coincentral.com/cardano-ada-price-whale-buying-frenzy-fuels-push-toward-1-target/?utm_source=chatgpt.com","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0,141","",""
"https://bloomingbit.io/en/feed/news/88623","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0,266","",""
"https://tokentopnews.com/why-bitcoin-still-looks-defensive-exchange-reserve-comparison/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0,418","",""
"https://blog.bitfinex.com/wp-content/uploads/2025/04/Bitfinex-Alpha-149.pdf","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0,107","",""
"https://example.com/bitcoin-price-tariff-induced-selloff","text/html","404","Not Found","Non-Indexable","Client Error","2","0,137","",""
"https://example.com/alex-protocol-user-compensation-exploit","text/html","404","Not Found","Non-Indexable","Client Error","1","0,136","",""
"https://etherscan.io/address/0x00000000219ab540356cbb839cbe05303d7705fa","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0,140","",""
"https://www.example.com/btc-hacker-monero-price-manipulation","text/html","404","Not Found","Non-Indexable","Client Error","1","0,106","",""
"https://lh7-rt.googleusercontent.com/docsz/AD_4nXdyz3nMqIoHgYJf9xUrjBKYp8k0slnGJ0fE2DJ99_gVEREjuM-K61uGMKVeV4fyRfEJFbKweKxwNRUSUCV2o3VaYz0W8eJo3q2AKfHqddJo4YoXnhmToPcpAxKPOluX__zNUrdSQQ?key=kOsDlpONR-BObqiq35bTUg","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","0","0,590","",""
"https://beincrypto.com/altcoins-at-major-liquidations-risk-first-week-september/","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0,124","",""
"https://cryptoslate.com/no-strong-leadership-commentary-poses-recovery-uncertainty-for-allo/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","1,904","",""
"https://example.com/whale-activity-indicates-market-stabilization","text/html","404","Not Found","Non-Indexable","Client Error","1","0,135","",""
"https://tokentopnews.com/btc-to-100k-why-bitcoin-could-drop-to-55k-first/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","3","0,529","",""
"https://www.apemars.com/tc-Toptokennews/?utm_source=Toptokennews&utm_medium=228-11%3A15+Top+Crypto+to+Buy+Now?+Stage+9+APEMARS+Skyrockets+6%2C914%+ROI+With+Community+Driven+Meme+Coins+While+TRUMP+and+MOG+Stir+Hype+SA-1342-ND-6218&utm_campaign=SA-1342-ND-6218","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","9","0,169","",""
"https://tokentopnews.com/robo-added-to-binance-hodler-airdrops-key-details-for-crypto-holders/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","1","0,433","",""
"https://www.ccn.com/news/crypto/bombie-airdrop-whitepaper-tge-failure","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0,089","",""
"https://www.bbva.com/en/evolution-of-regulated-crypto-trading-under-mica-framework/","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0,720","",""
"https://cryptonews.com/shiba-inu-6-percent-drop-exchange-surge","text/plain;charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0,102","",""
"https://example.com/patrick-witt-trump-senior-crypto-adviser","text/html","404","Not Found","Non-Indexable","Client Error","1","0,126","",""
"https://example.com/regulatory-responses-possible-for-enhanced-data-reporting-transparency","text/html","404","Not Found","Non-Indexable","Client Error","1","0,144","",""
"https://www.bnbchain.org/en/audiera-web3-launch-claims-questioned","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0,279","",""
"https://www.investopedia.com/terms/m/microstrategy.asp","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0,212","",""
"https://example.com/santiment-metrics-caution-retail-traders","text/html","404","Not Found","Non-Indexable","Client Error","1","0,095","",""
"https://www.coingecko.com/en/coins/vaulta","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0,187","",""
"https://www.apemars.com/tc-Toptokennews/?utm_source=Toptokennews&utm_medium=227-23%3A15+Shiba+Inu+and+Dogecoin+Turned+Pennies+into+Millions%3A+Now+APEMARS+Eyes+the+Next+Big+Crypto+2026+Title+With+6%2C900%+ROI+-+Stage+9+Ends+Soon+FF-W5025-HZ-1597&utm_campaign=FF-W5025-HZ-1597","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","9","0,204","",""
"https://decrypt.co/143857/historical-liquidation-events-market-corrections","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","1","0,925","",""
"https://www.example.com/fed-loosening-bank-rules-bitcoin","text/html","404","Not Found","Non-Indexable","Client Error","1","0,081","",""
