"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://tokentopnews.com/bitcoin-fed-stealth-liquidity-actions/bitcoin-fed-stealth-liquidity-actions","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,358","https://tokentopnews.com/bitcoin-fed-stealth-liquidity-actions/","HTTP Redirect"
"https://www.gate.io/campaigns/246","","301","Moved Permanently","Non-Indexable","Redirected","1","0,010","https://www.gate.com/campaigns/246","HTTP Redirect"
"https://twitter.com/BeyondMeatStockSurge","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","2","0,253","https://x.com/BeyondMeatStockSurge","HTTP Redirect"
"https://www.theinvestorsagency.com/articles/goldman-sachs-raises-year-end-gold-price-forecast-to-3700","","301","Moved Permanently","Non-Indexable","Redirected","1","0,272","http://www.theinvestorsagency.com.au/","HTTP Redirect"
"https://www.coindesk.com/markets/2023/10/01/bitcoin-trades-below-cost-basis-levels/","text/html","308","Permanent Redirect","Non-Indexable","Redirected","1","0,110","https://www.coindesk.com/markets/2023/10/01/bitcoin-trades-below-cost-basis-levels","HTTP Redirect"
"https://twitter.com/CoinbaseMarkets/status/1234567890","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","2","0,315","https://x.com/CoinbaseMarkets/status/1234567890","HTTP Redirect"
"https://lh7-rt.googleusercontent.com/docsz/AD_4nXf16ATj2duIAmxLRYw7omHO2X1Rd26mPWSHZEFmACAjqzBxatzluwKbFaPcGLl2Y_LBIMkWdvTO1c77VAquJ2aFqJgAqDg2wqsxzqB3Iw1Wuozlj04WzDX5yqztx_cyTZs-hZV3eS9BNcPw5KsPQdPvGHGRlQ?key=srsijCBjEzwotpPFmv-gbw","text/html; charset=UTF-8","302","Found","Non-Indexable","Redirected","0","0,680","https://work.fife.usercontent.google.com/rd-docsz/AD_4nXdOn6SBUv-0Mr3VyDJZ5PPutAxwe8Jt-54DY0V7CTkP0D0PYjxOrO35-MqSWzl62udNE8ppGIozDV41telHU2kwIP08aJc0CPVJil80gA5ZLkYkcqlJAQ1QFqbJ8HOHebPt2zPb2NAeWkXC7az-0hGS-DroKMqj2ofAAw9MCnVh43HSMyCDapgJChuB95btFoiWyIEMvXhB0Dh11KYeaLcgZ9BWc4jt8Q9mEH2B-M8-zbH2TTIFWYs16yB9ewu7xA6Wgf3X30Jyew0u_Od1eck8BkqTd2tWnofHJFPlCVBOwwqYUwaFtZAqDjV4ak_PlaLpj9i6JYj2kAk18FfCfirLP9yr3bg=s1600?key=srsijCBjEzwotpPFmv-gbw","HTTP Redirect"
"https://twitter.com/domesternft?lang=en","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","2","0,293","https://x.com/domesternft?lang=en","HTTP Redirect"
"https://twitter.com/TrendResearch/status/1234567890123456789","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,245","https://x.com/TrendResearch/status/1234567890123456789","HTTP Redirect"
"https://twitter.com/bitcoin2025/status/1","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","2","0,313","https://x.com/bitcoin2025/status/1","HTTP Redirect"
"https://www.cointelegraph.com/news","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0,173","https://cointelegraph.com/news","HTTP Redirect"
"https://tokentopnews.com/bitcoin-fomo-surge-santiment-analysis/bitcoin-fomo-surge-santiment-analysis","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,472","https://tokentopnews.com/bitcoin-fomo-surge-santiment-analysis/","HTTP Redirect"
"https://www.mexc.com/support/articles/17827791528660","","301","Moved Permanently","Non-Indexable","Redirected","2","0,171","https://www.mexc.com/announcements/17827791528660","HTTP Redirect"
"https://tokentopnews.com/buildon-market-cap-uncertainty/buildon-market-cap-uncertainty","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,462","https://tokentopnews.com/buildon-market-cap-uncertainty/","HTTP Redirect"
"https://finance.yahoo.com/news/crypto-market-sees-53b-surge-from-etf-inflows-and-policy-support","","301","Moved Permanently","Non-Indexable","Redirected","1","0,106","https://finance.yahoo.com/news/crypto-market-sees-53b-surge-from-etf-inflows-and-policy-support/","HTTP Redirect"
"https://tokentopnews.com/coinbase-jitosol-mplx-listing-july-2025/coinbase-jitosol-mplx-listing-July-2025","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,506","https://tokentopnews.com/coinbase-jitosol-mplx-listing-july-2025/","HTTP Redirect"
"https://lh7-rt.googleusercontent.com/docsz/AD_4nXem6kj42MgT3OV3HEefCeFqTqnJT8Rs8Wd3lDEXDRK01YYY-mtGspyxfoahtUOTqagQk9NJeN7gqHIHhAgyKDMQJ3o3mHy_Mp6fn9UovgDVgp0lEJqRujaknb9LYtINXFm1jGXIbA?key=oQHVvsgJWY4h2RUvwEohJw","text/html; charset=UTF-8","302","Found","Non-Indexable","Redirected","0","0,700","https://work.fife.usercontent.google.com/rd-docsz/AD_4nXfPiUJXXdIMw5wSjKUwFjcnMK2N0X1ih5SFVPAjq9R3YFmhd5gCEWM1YVRmjeoKpNDEhKyQga_NZCvWbjXExc5nX9O7Nk9ZEoYbeLHhJttlzhtbHiFPt7FO58vWsZS_XoXVO8YKxLP8OF7hvuzydHZl8flcJlMqqHkb_t-QjLmVsRImA6Tolis078jH2VhCExUVnWtq0_cL2xBNXE7uUGIK70GBisN3LD3FLWFCA_LOJEUFZvcAymQHCb2fEVNNDIKHxsBQxFly9AFSZa6sREOIEgbhc59hTx24vE37KIJRJ6hM3Ob5ksYOy7Gzd7g6wLbn4n1sxg=s1600?key=oQHVvsgJWY4h2RUvwEohJw","HTTP Redirect"
"https://t.co/dKqIzSux8s","","301","Moved Permanently","Non-Indexable","Redirected","1","0,372","https://twitter.com/JSeyff/status/1739776560477900887/photo/1","HTTP Redirect"
"https://www.coindesk.com/news/longling-capital-eth-withdrawal-binance/","text/html","308","Permanent Redirect","Non-Indexable","Redirected","1","0,108","https://www.coindesk.com/news/longling-capital-eth-withdrawal-binance","HTTP Redirect"
"https://coinstats.app/news/4af5ea2bee18910eed5cb213efd0b71a3f8a06049ebca138d80572d6af8be09f_What-Crypto-Whales-are-Buying-For-May-2025","","308","Permanent Redirect","Non-Indexable","Redirected","1","0,256","https://coinstats.app/news/4af5ea2bee18910eed5cb213efd0b71a3f8a06049ebca138d80572d6af8be09f_What-Crypto-Whales-are-Buying-For-May-2025/","HTTP Redirect"
"https://twitter.com/hashtag/Devnet?src=hash&ref_src=twsrc^tfw","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,256","https://x.com/hashtag/Devnet?src=hash&ref_src=twsrc^tfw","HTTP Redirect"
"https://tokentopnews.com/whale-sells-mkr-profit-four-8-million/whale-sells-mkr-profit-four-8-million","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,389","https://tokentopnews.com/whale-sells-mkr-profit-four-8-million/","HTTP Redirect"
"https://twitter.com/xyz/status/123456789","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","2","0,310","https://x.com/xyz/status/123456789","HTTP Redirect"
"https://twitter.com/Crypto_Town_Hall/status/1234567890","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,313","https://x.com/Crypto_Town_Hall/status/1234567890","HTTP Redirect"
"https://tokentopnews.com/qubic-targets-dogecoin-after-monero-attack/qubic-targets-dogecoin-after-monero-attack","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,428","https://tokentopnews.com/wp-content/uploads/2025/08/qubic-targets-dogecoin-post-attack.png","HTTP Redirect"
"https://tokentopnews.com/q3-2025-crypto-recovery-institutional-demand/q3-2025-crypto-recovery-institutional-demand","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,421","https://tokentopnews.com/q3-2025-crypto-recovery-institutional-demand/","HTTP Redirect"
"https://twitter.com/GreeksLive/status/1234567890","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,245","https://x.com/GreeksLive/status/1234567890","HTTP Redirect"
"https://tokentopnews.com/goplus-ai-security-onchain-transactions/goplus-ai-security-onchain-transactions","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,383","https://tokentopnews.com/goplus-ai-security-onchain-transactions/","HTTP Redirect"
"https://twitter.com/1inch","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,276","https://x.com/1inch","HTTP Redirect"
"https://circle.com/reports/state-of-the-usdc-economy","","301","Moved Permanently","Non-Indexable","Redirected","1","0,046","https://www.circle.com/reports/state-of-the-usdc-economy","HTTP Redirect"
"https://twitter.com/vxunderground/status/1723749038057574425","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0,259","https://x.com/vxunderground/status/1723749038057574425","HTTP Redirect"
